"status","coordinate_basis","floor","equipment_category","label","drawing_x","drawing_y","confidence","location_count","evidence_row_count","evidence_drawing_count","source_count","source_drawing_count","source_drawings","source_paths","entity_types","layers","block_names","texts","handles","floor_bbox_ids","nearby_name","display_label","nearby_name_distance","nearby_name_layer","nearby_name_handle"
"confirmed","XR-PLAN","4F","UPS","UPS","327621.2235692308","394480.652783557","0.82","1","2","2","1","2","E-C14_전기실 장비배치도.dxf | E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-C14_전기실 장비배치도.dxf | v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","------00 Switch Gear_Number","","UPS","8C669E | 8C923F","detail1_right","","UPS","","",""
"confirmed","XR-PLAN","4F","UPS","UPS","324971.2235692308","394480.6540685316","0.82","1","2","2","1","2","E-C14_전기실 장비배치도.dxf | E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-C14_전기실 장비배치도.dxf | v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","------00 Switch Gear_Number","","UPS","8C66AD | 8C924E","detail1_right","5F-1B-2","UPS / 5F-1B-2","343.8","------00 Switch Gear_Number","8C66AE"
"confirmed","XR-PLAN","4F","UPS","UPS","292149.8985470171","394651.3267997179","0.82","1","1","1","1","1","E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","-----99 EPMS DEVICE","","UPS","8C92C3","detail1_right","","UPS","","",""
"confirmed","XR-PLAN","4F","UPS","UPS","323799.8998303323","394651.3280846926","0.82","1","1","1","1","1","E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","-----99 EPMS DEVICE","","UPS","8C93E9","detail1_right","5F-1B-2","UPS / 5F-1B-2","886.9","------00 Switch Gear_Number","8C66AE"
"confirmed","XR-PLAN","4F","UPS","UPS","294660.0585470169","394920.9829836889","0.82","1","1","1","1","1","E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","-----99 EPMS DEVICE","","UPS","8C92BD","detail1_right","3F-1B-2","UPS / 3F-1B-2","1055.9","------00 Switch Gear_Number","8C6097"
"confirmed","XR-PLAN","4F","UPS","UPS","326310.0598303321","394920.9842686633","0.82","1","1","1","1","1","E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","-----99 EPMS DEVICE","","UPS","8C93E3","detail1_right","5F-1B-2","UPS / 5F-1B-2","1642.3","------00 Switch Gear_Number","8C66AE"
"confirmed","XR-PLAN","4F","UPS","UPS","293321.2222859157","395680.6527835439","0.82","1","2","2","1","2","E-C14_전기실 장비배치도.dxf | E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-C14_전기실 장비배치도.dxf | v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","------00 Switch Gear_Number","","UPS","8C60AD | 8C9191","detail1_right","","UPS","","",""
"confirmed","XR-PLAN","4F","UPS","UPS","295971.2222859157","395680.6527835439","0.82","1","2","2","1","2","E-C14_전기실 장비배치도.dxf | E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-C14_전기실 장비배치도.dxf | v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","------00 Switch Gear_Number","","UPS","8C6092 | 8C917D","detail1_right","3F-1B-1","UPS / 3F-1B-1","343.8","------00 Switch Gear_Number","8C6093"
"confirmed","XR-PLAN","4F","UPS","UPS","327621.2235692308","395680.6527835571","0.82","1","2","2","1","2","E-C14_전기실 장비배치도.dxf | E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-C14_전기실 장비배치도.dxf | v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","------00 Switch Gear_Number","","UPS","8C669B | 8C923C","detail1_right","","UPS","","",""
"confirmed","XR-PLAN","4F","UPS","UPS","324971.2235692308","395680.6540685317","0.82","1","2","2","1","2","E-C14_전기실 장비배치도.dxf | E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-C14_전기실 장비배치도.dxf | v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","------00 Switch Gear_Number","","UPS","8C66AA | 8C924B","detail1_right","5F-1B-1","UPS / 5F-1B-1","343.8","------00 Switch Gear_Number","8C66AB"
"confirmed","XR-PLAN","4F","UPS","UPS","292149.8985470171","395851.3267997179","0.82","1","1","1","1","1","E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","-----99 EPMS DEVICE","","UPS","8C92BF","detail1_right","","UPS","","",""
"confirmed","XR-PLAN","4F","UPS","UPS","323799.8998303323","395851.3280846926","0.82","1","1","1","1","1","E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","-----99 EPMS DEVICE","","UPS","8C93E5","detail1_right","5F-1B-1","UPS / 5F-1B-1","886.9","------00 Switch Gear_Number","8C66AB"
"confirmed","XR-PLAN","4F","UPS","UPS","330099.8991857166","405066.9477142611","0.82","1","1","1","1","1","E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","-----99 EPMS DEVICE","","UPS","8C9CC5","detail1_right","5F-1D-5","UPS / 5F-1D-5","1013.9","------00 Switch Gear_Number","8C63DC"
"confirmed","XR-PLAN","4F","UPS","UPS","288499.9760780783","405066.950284184","0.82","1","1","1","1","1","E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","-----99 EPMS DEVICE","","UPS","8C99EF","detail1_right","3F-1D-5","UPS / 3F-1D-5","1013.9","------00 Switch Gear_Number","8C6084"
"confirmed","XR-PLAN","4F","UPS","UPS","331271.222924614","405361.4468910899","0.82","1","1","1","1","1","E-C14_전기실 장비배치도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-C14_전기실 장비배치도.dxf","TEXT","------00 Switch Gear_Number","","UPS","8C63DB","detail1_right","5F-1D-5","UPS / 5F-1D-5","346.3","------00 Switch Gear_Number","8C63DC"
"confirmed","XR-PLAN","4F","UPS","UPS","289671.2998169766","405361.4481760378","0.82","1","1","1","1","1","E-C14_전기실 장비배치도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-C14_전기실 장비배치도.dxf","TEXT","------00 Switch Gear_Number","","UPS","8C6083","detail1_right","3F-1D-5","UPS / 3F-1D-5","346.3","------00 Switch Gear_Number","8C6084"
"confirmed","XR-PLAN","4F","UPS","UPS","287881.2998169784","405361.448176042","0.82","1","1","1","1","1","E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","------00 Switch Gear_Number","","UPS","8C94E4","detail1_right","3F-1D-5","UPS / 3F-1D-5","346.3","------00 Switch Gear_Number","8C94E5"
"confirmed","XR-PLAN","4F","UPS","UPS","329481.2229246158","405361.4571708933","0.82","1","1","1","1","1","E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","------00 Switch Gear_Number","","UPS","8C9702","detail1_right","5F-1D-5","UPS / 5F-1D-5","346.3","------00 Switch Gear_Number","8C9703"
"confirmed","XR-PLAN","4F","UPS","UPS","330099.8991857166","406266.9477142612","0.82","1","1","1","1","1","E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","-----99 EPMS DEVICE","","UPS","8C9CC1","detail1_right","5F-1D-4","UPS / 5F-1D-4","1013.9","------00 Switch Gear_Number","8C63D8"
"confirmed","XR-PLAN","4F","UPS","UPS","288499.9760780783","406266.9502841839","0.82","1","1","1","1","1","E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","-----99 EPMS DEVICE","","UPS","8C99EB","detail1_right","3F-1D-4","UPS / 3F-1D-4","1013.9","------00 Switch Gear_Number","8C6081"
"confirmed","XR-PLAN","4F","UPS","UPS","331271.222924614","406561.44689109","0.82","1","1","1","1","1","E-C14_전기실 장비배치도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-C14_전기실 장비배치도.dxf","TEXT","------00 Switch Gear_Number","","UPS","8C63D7","detail1_right","5F-1D-4","UPS / 5F-1D-4","346.3","------00 Switch Gear_Number","8C63D8"
"confirmed","XR-PLAN","4F","UPS","UPS","289671.2998169766","406561.4481760379","0.82","1","1","1","1","1","E-C14_전기실 장비배치도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-C14_전기실 장비배치도.dxf","TEXT","------00 Switch Gear_Number","","UPS","8C6080","detail1_right","3F-1D-4","UPS / 3F-1D-4","346.3","------00 Switch Gear_Number","8C6081"
"confirmed","XR-PLAN","4F","UPS","UPS","287881.2998169784","406561.448176042","0.82","1","1","1","1","1","E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","------00 Switch Gear_Number","","UPS","8C94E1","detail1_right","3F-1D-4","UPS / 3F-1D-4","346.3","------00 Switch Gear_Number","8C94E2"
"confirmed","XR-PLAN","4F","UPS","UPS","329481.2229246158","406561.4571708932","0.82","1","1","1","1","1","E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","------00 Switch Gear_Number","","UPS","8C96FF","detail1_right","5F-1D-4","UPS / 5F-1D-4","346.3","------00 Switch Gear_Number","8C9700"
"confirmed","XR-PLAN","4F","UPS","UPS","330099.8991857163","407466.9477142612","0.82","1","1","1","1","1","E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","-----99 EPMS DEVICE","","UPS","8C9CBD","detail1_right","5F-1D-3","UPS / 5F-1D-3","1013.9","------00 Switch Gear_Number","8C63D4"
"confirmed","XR-PLAN","4F","UPS","UPS","288499.9760780783","407466.950284184","0.82","1","1","1","1","1","E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","-----99 EPMS DEVICE","","UPS","8C99E7","detail1_right","3F-1D-3","UPS / 3F-1D-3","1013.9","------00 Switch Gear_Number","8C607E"
"confirmed","XR-PLAN","4F","UPS","UPS","331271.222924614","407761.4468910899","0.82","1","1","1","1","1","E-C14_전기실 장비배치도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-C14_전기실 장비배치도.dxf","TEXT","------00 Switch Gear_Number","","UPS","8C63D3","detail1_right","5F-1D-3","UPS / 5F-1D-3","346.3","------00 Switch Gear_Number","8C63D4"
"confirmed","XR-PLAN","4F","UPS","UPS","289671.2998169766","407761.4481760378","0.82","1","1","1","1","1","E-C14_전기실 장비배치도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-C14_전기실 장비배치도.dxf","TEXT","------00 Switch Gear_Number","","UPS","8C607D","detail1_right","3F-1D-3","UPS / 3F-1D-3","346.3","------00 Switch Gear_Number","8C607E"
"confirmed","XR-PLAN","4F","UPS","UPS","287881.2998169784","407761.448176042","0.82","1","1","1","1","1","E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","------00 Switch Gear_Number","","UPS","8C94DE","detail1_right","3F-1D-3","UPS / 3F-1D-3","346.3","------00 Switch Gear_Number","8C94DF"
"confirmed","XR-PLAN","4F","UPS","UPS","329481.2229246158","407761.4571708932","0.82","1","1","1","1","1","E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","------00 Switch Gear_Number","","UPS","8C96FC","detail1_right","5F-1D-3","UPS / 5F-1D-3","346.3","------00 Switch Gear_Number","8C96FD"
"confirmed","XR-PLAN","4F","UPS","UPS","330099.8991857163","408666.9477142612","0.82","1","1","1","1","1","E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","-----99 EPMS DEVICE","","UPS","8C9CB9","detail1_right","5F-1D-2","UPS / 5F-1D-2","1013.9","------00 Switch Gear_Number","8C63D0"
"confirmed","XR-PLAN","4F","UPS","UPS","288499.9760780783","408666.9502841839","0.82","1","1","1","1","1","E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","-----99 EPMS DEVICE","","UPS","8C99E3","detail1_right","3F-1D-2","UPS / 3F-1D-2","1013.9","------00 Switch Gear_Number","8C607B"
"confirmed","XR-PLAN","4F","UPS","UPS","331271.222924614","408961.44689109","0.82","1","1","1","1","1","E-C14_전기실 장비배치도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-C14_전기실 장비배치도.dxf","TEXT","------00 Switch Gear_Number","","UPS","8C63CF","detail1_right","5F-1D-2","UPS / 5F-1D-2","346.3","------00 Switch Gear_Number","8C63D0"
"confirmed","XR-PLAN","4F","UPS","UPS","289671.2998169766","408961.4481760378","0.82","1","1","1","1","1","E-C14_전기실 장비배치도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-C14_전기실 장비배치도.dxf","TEXT","------00 Switch Gear_Number","","UPS","8C607A","detail1_right","3F-1D-2","UPS / 3F-1D-2","346.3","------00 Switch Gear_Number","8C607B"
"confirmed","XR-PLAN","4F","UPS","UPS","287881.2998169784","408961.448176042","0.82","1","1","1","1","1","E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","------00 Switch Gear_Number","","UPS","8C94DB","detail1_right","3F-1D-2","UPS / 3F-1D-2","346.3","------00 Switch Gear_Number","8C94DC"
"confirmed","XR-PLAN","4F","UPS","UPS","329481.2229246158","408961.4571708932","0.82","1","1","1","1","1","E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","------00 Switch Gear_Number","","UPS","8C96F9","detail1_right","5F-1D-2","UPS / 5F-1D-2","346.3","------00 Switch Gear_Number","8C96FA"
"confirmed","XR-PLAN","4F","UPS","UPS","330099.8991857162","409866.9477142612","0.82","1","1","1","1","1","E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","-----99 EPMS DEVICE","","UPS","8C9CB5","detail1_right","5F-1D-1","UPS / 5F-1D-1","1013.9","------00 Switch Gear_Number","8C63CC"
"confirmed","XR-PLAN","4F","UPS","UPS","288499.9760780783","409866.9502841839","0.82","1","1","1","1","1","E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","-----99 EPMS DEVICE","","UPS","8C99DF","detail1_right","3F-1D-1","UPS / 3F-1D-1","1013.9","------00 Switch Gear_Number","8C6078"
"confirmed","XR-PLAN","4F","UPS","UPS","331271.222924614","410161.4468910899","0.82","1","1","1","1","1","E-C14_전기실 장비배치도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-C14_전기실 장비배치도.dxf","TEXT","------00 Switch Gear_Number","","UPS","8C63CB","detail1_right","5F-1D-1","UPS / 5F-1D-1","346.3","------00 Switch Gear_Number","8C63CC"
"confirmed","XR-PLAN","4F","UPS","UPS","289671.2998169766","410161.4481760377","0.82","1","1","1","1","1","E-C14_전기실 장비배치도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-C14_전기실 장비배치도.dxf","TEXT","------00 Switch Gear_Number","","UPS","8C6077","detail1_right","3F-1D-1","UPS / 3F-1D-1","346.3","------00 Switch Gear_Number","8C6078"
"confirmed","XR-PLAN","4F","UPS","UPS","287881.2998169784","410161.448176042","0.82","1","1","1","1","1","E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","------00 Switch Gear_Number","","UPS","8C94D8","detail1_right","3F-1D-1","UPS / 3F-1D-1","346.3","------00 Switch Gear_Number","8C94D9"
"confirmed","XR-PLAN","4F","UPS","UPS","329481.2229246158","410161.4571708932","0.82","1","1","1","1","1","E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","------00 Switch Gear_Number","","UPS","8C96F6","detail1_right","5F-1D-1","UPS / 5F-1D-1","346.3","------00 Switch Gear_Number","8C96F7"
"confirmed","XR-PLAN","4F","UPS","UPS","330099.8991857158","411066.9477142612","0.82","1","1","1","1","1","E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","-----99 EPMS DEVICE","","UPS","8C9CB1","detail1_right","5F-1C-5","UPS / 5F-1C-5","1013.7","------00 Switch Gear_Number","8C63C8"
"confirmed","XR-PLAN","4F","UPS","UPS","288499.9760780782","411066.9502841839","0.82","1","1","1","1","1","E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","-----99 EPMS DEVICE","","UPS","8C99DB","detail1_right","3F-1C-5","UPS / 3F-1C-5","1013.7","------00 Switch Gear_Number","8C6075"
"confirmed","XR-PLAN","4F","UPS","UPS","331271.222924614","411361.4468910899","0.82","1","1","1","1","1","E-C14_전기실 장비배치도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-C14_전기실 장비배치도.dxf","TEXT","------00 Switch Gear_Number","","UPS","8C63C7","detail1_right","5F-1C-5","UPS / 5F-1C-5","346.1","------00 Switch Gear_Number","8C63C8"
"confirmed","XR-PLAN","4F","UPS","UPS","289671.2998169767","411361.4481760378","0.82","1","1","1","1","1","E-C14_전기실 장비배치도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-C14_전기실 장비배치도.dxf","TEXT","------00 Switch Gear_Number","","UPS","8C6074","detail1_right","3F-1C-5","UPS / 3F-1C-5","346.1","------00 Switch Gear_Number","8C6075"
"confirmed","XR-PLAN","4F","UPS","UPS","287881.2998169785","411361.448176042","0.82","1","1","1","1","1","E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","------00 Switch Gear_Number","","UPS","8C94D5","detail1_right","3F-1C-5","UPS / 3F-1C-5","346.1","------00 Switch Gear_Number","8C94D6"
"confirmed","XR-PLAN","4F","UPS","UPS","329481.2229246158","411361.4571708931","0.82","1","1","1","1","1","E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","------00 Switch Gear_Number","","UPS","8C96F3","detail1_right","5F-1C-5","UPS / 5F-1C-5","346.1","------00 Switch Gear_Number","8C96F4"
"confirmed","XR-PLAN","4F","UPS","UPS","330099.8991857158","412266.9477142611","0.82","1","1","1","1","1","E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","-----99 EPMS DEVICE","","UPS","8C9CAD","detail1_right","5F-1C-4","UPS / 5F-1C-4","1013.7","------00 Switch Gear_Number","8C63C4"
"confirmed","XR-PLAN","4F","UPS","UPS","288499.9760780782","412266.950284184","0.82","1","1","1","1","1","E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","-----99 EPMS DEVICE","","UPS","8C99D7","detail1_right","3F-1C-4","UPS / 3F-1C-4","1013.7","------00 Switch Gear_Number","8C6072"
"confirmed","XR-PLAN","4F","UPS","UPS","331271.222924614","412561.4468910899","0.82","1","1","1","1","1","E-C14_전기실 장비배치도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-C14_전기실 장비배치도.dxf","TEXT","------00 Switch Gear_Number","","UPS","8C63C3","detail1_right","5F-1C-4","UPS / 5F-1C-4","346.1","------00 Switch Gear_Number","8C63C4"
"confirmed","XR-PLAN","4F","UPS","UPS","289671.2998169767","412561.4481760378","0.82","1","1","1","1","1","E-C14_전기실 장비배치도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-C14_전기실 장비배치도.dxf","TEXT","------00 Switch Gear_Number","","UPS","8C6071","detail1_right","3F-1C-4","UPS / 3F-1C-4","346.1","------00 Switch Gear_Number","8C6072"
"confirmed","XR-PLAN","4F","UPS","UPS","287881.2998169785","412561.448176042","0.82","1","1","1","1","1","E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","------00 Switch Gear_Number","","UPS","8C94D2","detail1_right","3F-1C-4","UPS / 3F-1C-4","346.1","------00 Switch Gear_Number","8C94D3"
"confirmed","XR-PLAN","4F","UPS","UPS","329481.2229246158","412561.4571708932","0.82","1","1","1","1","1","E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","------00 Switch Gear_Number","","UPS","8C96F0","detail1_right","5F-1C-4","UPS / 5F-1C-4","346.1","------00 Switch Gear_Number","8C96F1"
"confirmed","XR-PLAN","4F","UPS","UPS","330099.8991857157","413466.9477142612","0.82","1","1","1","1","1","E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","-----99 EPMS DEVICE","","UPS","8C9CA9","detail1_right","5F-1C-3","UPS / 5F-1C-3","1013.7","------00 Switch Gear_Number","8C63C0"
"confirmed","XR-PLAN","4F","UPS","UPS","288499.9760780782","413466.9502841839","0.82","1","1","1","1","1","E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","-----99 EPMS DEVICE","","UPS","8C99D3","detail1_right","3F-1C-3","UPS / 3F-1C-3","1013.7","------00 Switch Gear_Number","8C606F"
"confirmed","XR-PLAN","4F","UPS","UPS","331271.222924614","413761.4468910899","0.82","1","1","1","1","1","E-C14_전기실 장비배치도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-C14_전기실 장비배치도.dxf","TEXT","------00 Switch Gear_Number","","UPS","8C63BF","detail1_right","5F-1C-3","UPS / 5F-1C-3","346.1","------00 Switch Gear_Number","8C63C0"
"confirmed","XR-PLAN","4F","UPS","UPS","289671.2998169767","413761.4481760379","0.82","1","1","1","1","1","E-C14_전기실 장비배치도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-C14_전기실 장비배치도.dxf","TEXT","------00 Switch Gear_Number","","UPS","8C606E","detail1_right","3F-1C-3","UPS / 3F-1C-3","346.1","------00 Switch Gear_Number","8C606F"
"confirmed","XR-PLAN","4F","UPS","UPS","287881.2998169785","413761.448176042","0.82","1","1","1","1","1","E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","------00 Switch Gear_Number","","UPS","8C94CF","detail1_right","3F-1C-3","UPS / 3F-1C-3","346.1","------00 Switch Gear_Number","8C94D0"
"confirmed","XR-PLAN","4F","UPS","UPS","329481.2229246158","413761.4571708932","0.82","1","1","1","1","1","E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","------00 Switch Gear_Number","","UPS","8C96ED","detail1_right","5F-1C-3","UPS / 5F-1C-3","346.1","------00 Switch Gear_Number","8C96EE"
"confirmed","XR-PLAN","4F","UPS","UPS","330099.8991857155","414666.9477142611","0.82","1","1","1","1","1","E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","-----99 EPMS DEVICE","","UPS","8C9CA5","detail1_right","5F-1C-2","UPS / 5F-1C-2","1013.7","------00 Switch Gear_Number","8C63BC"
"confirmed","XR-PLAN","4F","UPS","UPS","288499.9760780782","414666.950284184","0.82","1","1","1","1","1","E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","-----99 EPMS DEVICE","","UPS","8C99CF","detail1_right","3F-1C-2","UPS / 3F-1C-2","1013.7","------00 Switch Gear_Number","8C606C"
"confirmed","XR-PLAN","4F","UPS","UPS","331271.222924614","414961.44689109","0.82","1","1","1","1","1","E-C14_전기실 장비배치도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-C14_전기실 장비배치도.dxf","TEXT","------00 Switch Gear_Number","","UPS","8C63BB","detail1_right","5F-1C-2","UPS / 5F-1C-2","346.1","------00 Switch Gear_Number","8C63BC"
